MJD,mag,magunc,filter
59252.1376,21.2136,0.2540,ZTF-g
59252.1610,19.7950,0.1409,ZTF-r
59254.1570,19.4588,0.1094,ZTF-r
59256.1325,21.2603,0.2586,ZTF-g
59256.1699,19.6622,0.1277,ZTF-r
59256.1927,18.4366,0.0979,ZTF-i
59263.1755,19.2000,0.0897,ZTF-r
59265.1424,19.7405,0.1354,ZTF-r
59268.1370,18.4606,0.0993,ZTF-i
59279.1257,19.3268,0.0695,ZTF-r
59280.1274,19.4094,0.0471,ZTF-r
59341.4875,19.0848,0.0820,ZTF-r
59342.4857,19.3610,0.0507,ZTF-r
59344.4846,19.2851,0.0478,ZTF-r
59345.4823,19.3828,0.0516,ZTF-r
59346.4824,19.3363,0.0575,ZTF-r
59348.4827,19.3394,0.0499,ZTF-r
59349.4804,19.2412,0.0463,ZTF-r
59352.4783,19.3625,0.1017,ZTF-r
59353.4797,19.1669,0.0618,ZTF-r
59354.4796,19.2062,0.0450,ZTF-r
59356.4777,19.3311,0.0496,ZTF-r
59357.4778,19.3251,0.0493,ZTF-r
59358.4774,19.2945,0.0482,ZTF-r
59359.4767,19.2876,0.0480,ZTF-r
59362.4630,19.3019,0.0434,ZTF-r
59363.4637,19.2926,0.0430,ZTF-r
59364.4620,19.3155,0.0438,ZTF-r
59365.4643,19.3083,0.0436,ZTF-r
59366.4641,19.3037,0.0434,ZTF-r
59367.4632,19.2681,0.0423,ZTF-r
59385.3891,19.2858,0.0958,ZTF-r
59387.4349,19.2475,0.0930,ZTF-r
59391.4055,19.2365,0.0922,ZTF-r
59393.4475,19.3232,0.0986,ZTF-r
